# Goethe-Institut / telc — Deutsch-Test für Zuwanderer (DTZ) alphabetical wordlist (A2–B1)
# Extracted from the official PDF. 2649 entries. Example sentences deliberately EXCLUDED (copyright);
# only factual lemma data is kept (headword, article, plural, Partizip II, auxiliary) + an English gloss.
# Conventions:  N = Nomen (article + plural, reconstructed from the list's umlaut markers)
#               V = Verb  (partizip_2 + hilfsverb = haben/sein)
#               X = adjective / adverb / particle / phrase
# STATUS: grammar 100% complete for all 2649. English meanings authored so far: 207/2649 (alphabetical; A done).
#         Empty 'english' = still needs a gloss. 'index' is the stable key — author meanings against it.
index	pos	article	word	plural	partizip_2	hilfsverb	english
0	X		ab				from; as of
1	V		abbiegen		abgebogen	sein	to turn (off)
2	N	die	Abbildung	Abbildungen			illustration; figure
3	X		aber				but
4	N	der	Abfall	Abfälle			waste; rubbish
5	V		abfahren		abgefahren	sein	to depart; leave
6	N	das	Abgas	Abgase			exhaust fumes
7	V		abgeben		abgegeben	haben	to hand in; drop off
8	V		abhängen		abgehangen	haben	to depend
9	X		abhängig				dependent
10	V		abheben		abgehoben	haben	to withdraw (money)
11	V		abholen		abgeholt	haben	to pick up; collect
12	N	das	Abitur				secondary-school leaving exam
13	V		ablehnen		abgelehnt	haben	to reject; refuse
14	V		abmachen		abgemacht	haben	to agree; arrange
15	V		abnehmen		abgenommen	haben	to lose weight; take off
16	V		abonnieren		abonniert	haben	to subscribe to
17	N	das	Abonnement	Abonnements			subscription
18	N	der	Abschluss	Abschlüse			degree; conclusion
19	N	der	Absender	Absender			sender
20	N	die	Absicht	Absichten			intention
21	X		absolut				absolute(ly)
22	V		abstimmen		abgestimmt	haben	to vote
23	N	die	Abteilung	Abteilungen			department
24	V		abwaschen		abgewaschen	haben	to wash up (dishes)
25	X		ach				oh
26	V		achten auf		geachtet	haben	to pay attention to
27	N	die	Achtung				attention; respect
28	N	die	Adresse	Adressen			address
29	N	die	Agentur	Agenturen			agency
30	X		ähnlich				similar
31	X		aha				aha; I see
32	N	die	Ahnung	Ahnungen			idea; clue
33	N	die	Aktion	Aktionen			campaign; promotion
34	X		aktiv				active
35	N	die	Aktivität	Aktivitäten			activity
36	X		aktuell				current; up to date
37	V		akzeptieren		akzeptiert	haben	to accept
38	N	der	Alarm	Alarme			alarm
39	N	der	Alkohol				alcohol
40	X		all				all
41	X		allein				alone
42	X		aller-				the very (most); -est of all
43	X		allerdings				however; mind you
44	X		allgemein				general
45	N	der	Alltag				everyday life
46	N	das	Alphabet	Alphabete			alphabet
47	X		als				when; than; as
48	X		als ob				as if
49	X		also				so; therefore
50	X		alt				old
51	N	das	Alter				age
52	N	das	Altenheim	Altenheime			old people's home
53	N	das	Altersheim	Altersheime			old people's home
54	X		an				at; on; to
55	N	die	Ampel	Ampeln			traffic light
56	N	das	Amt	Ämter			public office; authority
57	V		sich amüsieren		sich amüsiert	haben	to enjoy oneself
58	V		analysieren		analysiert	haben	to analyse
59	V		anbieten		angeboten	haben	to offer
60	N	das	Angebot	Angebote			offer; special offer
61	X		ander-				other
62	X		andererseits				on the other hand
63	V		ändern		geändert	haben	to change
64	N	die	Änderung	Änderungen			change; alteration
65	X		anders				differently
66	V		anerkennen		anerkannt	haben	to recognise; acknowledge
67	V		anfangen		angefangen	haben	to begin; start
68	N	der	Anfang	Anfänge			beginning; start
69	X		anfangs				at first
70	N	die	Angabe	Angaben			detail; piece of information
71	V		angeben		angegeben	haben	to state; give (details)
72	N	der	Angehörige	Angehörigen			relative; family member
73	X		angenehm				pleasant
74	N	die	Angst	Ängste			fear
75	X		ängstlich				anxious; timid
76	V		anhaben		angehabt	haben	to have on; wear
