# Goethe-Institut / telc — Deutsch-Test für Zuwanderer (DTZ) alphabetical wordlist (A2–B1)
# Enriched: English glosses (all 2649) + ONE original A2–B1 German example sentence (de_sentence)
# with an English translation (en_sentence). Example sentences are ORIGINAL (the source's own
# examples were excluded for copyright). freq_rank: 1=most common (opensubtitles de_50k).
# Columns are tab-separated.
index	pos	article	word	plural	partizip_2	hilfsverb	english	de_sentence	en_sentence	freq_rank
0	X		ab				from; as of	Ab nächster Woche beginnt die Schule wieder.	From next week, school starts again.	109
1	V		abbiegen		abgebogen	sein	to turn (off)	An der Kreuzung musst du nach links abbiegen.	At the intersection you have to turn left.	2159
2	N	die	Abbildung	Abbildungen			illustration; figure	Die Abbildung im Lehrbuch zeigt den menschlichen Körper.	The illustration in the textbook shows the human body.	2562
3	X		aber				but	Ich möchte kommen, aber ich habe keine Zeit.	I would like to come, but I have no time.	17
4	N	der	Abfall	Abfälle			waste; rubbish	Bitte wirf den Abfall in den Mülleimer.	Please throw the rubbish in the bin.	2025
5	V		abfahren		abgefahren	sein	to depart; leave	Der Zug fährt um acht Uhr vom Hauptbahnhof ab.	The train departs from the main station at eight o'clock.	2238
6	N	das	Abgas	Abgase			exhaust fumes	Das Abgas der alten Autos verschmutzt die Luft in der Stadt.	The exhaust fumes from old cars pollute the air in the city.	2565
7	V		abgeben		abgegeben	haben	to hand in; drop off	Ich gebe das Formular morgen an der Rezeption ab.	I will hand in the form at reception tomorrow.	1354
8	V		abhängen		abgehangen	haben	to depend	Das hängt davon ab, wie viel Zeit wir haben.	That depends on how much time we have.	1732
9	X		abhängig				dependent	Das Kind ist noch sehr abhängig von seinen Eltern.	The child is still very dependent on its parents.	1754
10	V		abheben		abgehoben	haben	to withdraw (money)	Ich hebe am Automaten zwanzig Euro ab.	I withdraw twenty euros from the ATM.	2121
11	V		abholen		abgeholt	haben	to pick up; collect	Kannst du mich bitte um drei Uhr vom Bahnhof abholen?	Can you please pick me up from the station at three o'clock?	905
12	N	das	Abitur				secondary-school leaving exam	Meine Schwester macht dieses Jahr ihr Abitur.	My sister is doing her school leaving exam this year.	2349
13	V		ablehnen		abgelehnt	haben	to reject; refuse	Er hat das Angebot leider abgelehnt.	He unfortunately rejected the offer.	1673
14	V		abmachen		abgemacht	haben	to agree; arrange	Wir haben abgemacht, uns um zwölf Uhr zu treffen.	We arranged to meet at twelve o'clock.	2470
15	V		abnehmen		abgenommen	haben	to lose weight; take off	Der Arzt empfiehlt ihr, ein paar Kilo abzunehmen.	The doctor recommends that she lose a few kilos.	1400
16	V		abonnieren		abonniert	haben	to subscribe to	Ich habe die Zeitung für ein Jahr abonniert.	I subscribed to the newspaper for a year.	2566
17	N	das	Abonnement	Abonnements			subscription	Das monatliche Abonnement für das Streaming kostet zehn Euro.	The monthly streaming subscription costs ten euros.	2567
18	N	der	Abschluss	Abschlüsse			degree; conclusion	Nach dem Abschluss seines Studiums sucht er Arbeit.	After completing his degree he is looking for work.	1297
19	N	der	Absender	Absender			sender	Der Absender auf dem Brief war mir unbekannt.	The sender on the letter was unknown to me.	2302
20	N	die	Absicht	Absichten			intention	Es war keine böse Absicht, das ist einfach passiert.	It was no bad intention, it just happened.	991
21	X		absolut				absolute(ly)	Das Konzert war absolut fantastisch.	The concert was absolutely fantastic.	522
22	V		abstimmen		abgestimmt	haben	to vote	Die Gruppe stimmte über den Ausflug ab.	The group voted on the excursion.	2103
23	N	die	Abteilung	Abteilungen			department	Sie arbeitet in der Marketingabteilung des Unternehmens.	She works in the marketing department of the company.	1101
